genotype,date,temp,food,pheromone,neuron,cell.ID,ID,area,mean,mode,min,max,IntDen,Median,RawIntDen,notes,line,rescaledASI,medianASI,medianASJ,rescaledASJ
ft7,9_21_16,27,OP50,0,ASJ,1494,5,0.65,767.258,781,710,825,498.622,773,47570,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1495,5,0.535,902.98,929,856,945,482.711,902,46052,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1496,6,0.87,2229.012,2354,1772,2593,1939.228,2260,185008,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1497,6,1.153,2139.727,2221,1817,2366,2467.115,2144,235370,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1498,6,0.66,1199.333,1202,1103,1270,791.988,1199,75558,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1499,6,0.786,1016.707,1028,934,1069,799.273,1018,76253,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1500,7,0.954,1905.44,1739,1620,2081,1817.502,1929,173395,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1501,7,0.482,2298.804,2268,2199,2358,1108.404,2303,105745,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1502,7,0.545,1267.923,1300,1223,1313,691.09,1271,65932,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1503,7,0.493,1208.319,1175,1125,1268,595.275,1208,56791,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1504,8,0.587,1419.607,1418,1328,1510,833.287,1418,79498,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1505,8,0.912,1118.345,1174,1032,1186,1019.843,1119,97296,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1506,8,0.744,654.014,659,622,684,486.725,657,46435,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1507,8,0.493,738.851,723,704,775,363.993,739,34726,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1508,9,0.86,1118.061,1114,1057,1167,960.987,1122,91681,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1509,9,0.88,1076.155,957,894,1239,947.529,1090,90397,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1510,9,1.163,1181.45,1126,967,1282,1374.602,1200,131141,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1511,9,1.006,964.406,967,869,1023,970.442,967,92583,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1512,10,1.74,2350.151,2516,1800,2670,4089.235,2395,390125,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1513,10,1.834,1829.286,1892,1292,2336,3355.505,1832,320125,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1514,10,0.744,533.493,529,496,563,397.032,534,37878,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1515,10,0.577,531.109,546,486,586,306.186,529,29211,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1516,3,1.688,936.366,915,698,1029,1580.193,945,150755,,,,,,
ft7,9_21_16,27,OP50,0,ASI,1517,3,1.541,900.769,974,695,1010,1387.934,921,132413,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1518,3,0.88,584.988,577,557,609,515.068,586,49139,,,,,,
ft7,9_21_16,27,OP50,0,ASJ,1519,3,0.818,617.641,631,559,651,504.974,621,48176,,,,,,
N2,9_21_16,25,HB101,0,ASI,1520,2,1.184,1142.619,1176,866,1256,1353.376,1171,129116,HB101 contaminated,,,,,
N2,9_21_16,25,HB101,0,ASI,1521,2,0.43,873.951,897,812,932,375.586,875,35832,HB101 contaminated,,,,,
